SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample2,Amino Acid,Valine_(-H2O),C5H9NO,137,0.008197211751331299
Sample2,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,146,0.008735714713097588
Sample2,Amino Acid,Thymine_(-H),C5H5N2O2,158,0.009453718662119309
Sample2,Amino Acid,Proline_(-H2O),C5H7NO,165,0.009872554299048646
Sample2,Amino Acid,Threonine_(-H2O),C4H7NO2,180,0.010770059235325794
Sample2,Other,Urea_addition_(-H),CH3N2O,183,0.010949560222581225
Sample2,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,184,0.011009393884999701
Sample2,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,198,0.011847065158858373
Sample2,Amino Acid,Uracil_(-H),C4H3N2O2,214,0.012804403757554
Sample2,Amino Acid,Serine_(-H2O),C3H5NO2,224,0.013402740381738765
Sample2,Amino Acid,Alanine_(-H2O),C3H5NO,234,0.014001077005923533
Sample2,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,327,0.01956560761084186
Sample2,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,335,0.020044276910189673
Sample2,Sugar,Erythrose_(-H2O),C4H8O4,360,0.021540118470651588
Sample2,Abiotic,Secondary_amine,NH,370,0.022138455094836355
Sample2,Amino Acid,Cytosine_(-H),C4H4N3O,371,0.022198288757254832
Sample2,Other,Malonyl_group_(-H2O),C3H2O3,486,0.029079159935379646
Sample2,Abiotic,Acetotacetate_(-H2O),C4H4O2,490,0.02931849458505355
Sample2,Abiotic,Nitro_Reduction_(-O2),H2,663,0.03966971818345001
Sample2,Sugar,Glyoxylate_(-H2O),C2O2,669,0.04002872015796087
Sample2,Abiotic,Carboxylation,CO2,723,0.043259737928558605
Sample2,Abiotic,Ethyl_addition_(-H2O),C2H4,757,0.04529408245078681
Sample2,Abiotic,Acetylation_(-H2O),C2H2O,775,0.04637108837431939
Sample2,Abiotic,C2H2,C2H2,805,0.04816609824687369
Sample2,Abiotic,Condensation/hydration/dehydration,H2O,809,0.0484054328965476
Sample2,Abiotic,Formic_Acid_(-H2O),CO,891,0.05331179321486268
Sample2,Abiotic,Oxidation/Hydroxylation_(-H),O,945,0.05654281098546042
Sample2,Abiotic,Methylation_(-H),CH3,984,0.05887632381978101
Sample2,Abiotic,Hydrogenation/dehydrogenation,H2,1044,0.06246634356488961
