Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
402.155871,289.071796,113.084075,Amino Acid,Leucine_(-H2O),C6H11NO,113.084064,Sample17
402.155871,289.071796,113.084075,Amino Acid,Isoleucine_(-H2O),C6H11NO,113.084064,Sample17
402.155871,305.102995,97.052876,Amino Acid,Proline_(-H2O),C5H7NO,97.052764,Sample17
402.155871,482.1224,79.966529,Abiotic,Phosphate,HPO3,79.966332,Sample17
402.155871,580.203775,178.047904,Sugar,C6H10O6,C6H10O6,178.047738,Sample17
402.155871,301.108104,101.047767,Amino Acid,Threonine_(-H2O),C4H7NO2,101.047679,Sample17
402.155871,331.118732,71.037139,Amino Acid,Alanine_(-H2O),C3H5NO,71.037114,Sample17
402.155871,345.134313,57.021558,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample17
402.155871,374.124454,28.031417,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample17
402.155871,374.160981,27.99489,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample17
402.155871,387.144953,15.010918,Abiotic,Secondary_amine,NH,15.010899,Sample17
402.155871,400.140218,2.015653,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample17
402.155871,388.140259,14.015612,Abiotic,Methylation_(-H),CH3,14.015650,Sample17
402.155871,430.150893,27.995022,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample17
402.155871,446.145764,43.989893,Abiotic,Carboxylation,CO2,43.989829,Sample17
402.155871,486.177092,84.021221,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.021129,Sample17
402.155871,512.190488,110.034617,Amino Acid,Cytosine_(-H),C4H4N3O,110.035437,Sample17
402.155871,404.171544,2.015673,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample17
402.155871,273.113487,129.042384,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,129.042593,Sample17
402.155871,287.129075,115.026796,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,115.026943,Sample17
402.155871,303.087343,99.068528,Amino Acid,Valine_(-H2O),C5H9NO,99.068414,Sample17
402.155871,315.123812,87.032059,Amino Acid,Serine_(-H2O),C3H5NO2,87.032028,Sample17
