Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
540.214781,620.171215,79.956434,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample1
540.214781,514.199336,26.015445,Abiotic,C2H2,C2H2,26.015650,Sample1
540.214781,297.135041,243.07974,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.080339,Sample1
540.214781,313.057319,227.157462,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,227.157640,Sample1
540.214781,525.204462,15.010319,Abiotic,Secondary_amine,NH,15.010899,Sample1
540.214781,526.19974,14.015041,Abiotic,Methylation_(-H),CH3,14.015650,Sample1
540.214781,429.195593,111.019188,Amino Acid,Uracil_(-H),C4H3N2O2,111.019452,Sample1
540.214781,403.155516,137.059265,Amino Acid,Histidine_(-H2O),C6H7N3O,137.058912,Sample1
573.205838,571.190515,2.015323,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample1
573.205838,347.12806,226.077778,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,226.077600,Sample1
573.205838,559.18989,14.015948,Abiotic,Methylation_(-H),CH3,14.015650,Sample1
573.205838,426.151712,147.054126,Other,O-Acetylserine,C5H9NO4,147.053159,Sample1
573.205838,493.249876,79.955962,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample1
573.205838,591.217035,18.011197,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample1
573.205838,571.210544,1.995294,Abiotic,Oxidative_Defluorination_(-F),HO,1.995660,Sample1
573.205838,617.196427,43.990589,Abiotic,Carboxylation,CO2,43.989829,Sample1
573.205838,653.162318,79.95648,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample1
573.205838,555.214981,17.990857,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample1
573.205838,587.222073,14.016235,Abiotic,Methylation_(-H),CH3,14.015650,Sample1
573.205838,603.180674,29.974836,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample1
573.205838,575.221276,2.015438,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample1
573.205838,472.158206,101.047632,Amino Acid,Threonine_(-H2O),C4H7NO2,101.047679,Sample1
573.205838,545.209925,27.995913,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample1
573.205838,547.189388,26.01645,Abiotic,C2H2,C2H2,26.015650,Sample1
561.152819,531.178909,29.97391,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample1
561.152819,543.142297,18.010522,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample1
561.152819,579.143705,17.990886,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample1
561.152819,427.106755,134.046064,Amino Acid,Adenine_(-H),C5H4N5,134.046670,Sample1
561.152819,546.142423,15.010396,Abiotic,Secondary_amine,NH,15.010899,Sample1
561.152819,579.118496,17.965677,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample1
561.152819,641.109492,79.956673,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample1
561.152819,545.15742,15.995399,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample1
561.152819,560.148621,1.004198,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample1
561.152819,490.114941,71.037878,Amino Acid,Alanine_(-H2O),C3H5NO,71.037114,Sample1
