Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
601.165834,487.123659,114.042175,Amino Acid,Asparagine_(-H2O),C4H6N2O2,114.042928,Sample6
601.165834,615.181318,14.015484,Abiotic,Methylation_(-H),CH3,14.015650,Sample6
601.165834,617.160467,15.994633,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample6
601.165834,627.181653,26.015819,Abiotic,C2H2,C2H2,26.015650,Sample6
601.165834,629.161049,27.995215,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample6
601.165834,629.197813,28.031979,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample6
601.165834,603.180674,2.01484,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample6
601.165834,599.149954,2.01588,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample6
601.165834,375.087281,226.078553,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,226.077600,Sample6
601.165834,599.170307,1.995527,Abiotic,Oxidative_Defluorination_(-F),HO,1.995660,Sample6
601.165834,500.117649,101.048185,Amino Acid,Threonine_(-H2O),C4H7NO2,101.047679,Sample6
601.165834,504.113183,97.052651,Amino Acid,Proline_(-H2O),C5H7NO,97.052764,Sample6
601.165834,583.174604,17.99123,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample6
601.165834,619.176968,18.011134,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample6
540.214781,297.135041,243.07974,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.080339,Sample6
540.214781,313.057319,227.157462,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,227.157640,Sample6
540.214781,525.204462,15.010319,Abiotic,Secondary_amine,NH,15.010899,Sample6
540.214781,620.172133,79.957352,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample6
540.214781,620.180302,79.965521,Abiotic,Phosphate,HPO3,79.966332,Sample6
540.214781,403.155516,137.059265,Amino Acid,Histidine_(-H2O),C6H7N3O,137.058912,Sample6
540.214781,429.194952,111.019829,Amino Acid,Uracil_(-H),C4H3N2O2,111.019452,Sample6
540.214781,538.199211,2.01557,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample6
571.167015,585.1835,14.016485,Abiotic,Methylation_(-H),CH3,14.015650,Sample6
571.167015,573.182725,2.01571,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample6
571.167015,555.171763,15.995252,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample6
571.167015,543.171321,27.995694,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample6
571.167015,557.151172,14.015843,Abiotic,Methylation_(-H),CH3,14.015650,Sample6
571.167015,573.205838,2.038823,Amino Acid,Transamination_(-O),NH4,2.039459,Sample6
571.167015,615.181318,44.014303,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,44.013639,Sample6
571.167015,395.135368,176.031647,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,176.032088,Sample6
571.167015,587.185394,16.018379,Abiotic,Primary_amine,NH2,16.018724,Sample6
571.167015,504.113183,67.053832,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample6
