SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample12,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,1,1.882813676758548e-05
Sample12,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,1,1.882813676758548e-05
Sample12,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,1,1.882813676758548e-05
Sample12,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,1,1.882813676758548e-05
Sample12,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,1,1.882813676758548e-05
Sample12,Abiotic,Biotinyl_(-H),C10H15N2O3S,7,0.00013179695737309836
Sample12,Other,Phytochelatin,C10H16N3O6S-,8,0.00015062509414068384
Sample12,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,10,0.0001882813676758548
Sample12,Other,Alliin,C6H11NO3S,12,0.00022593764121102577
Sample12,Abiotic,GSH_Conjugation_1,C10H15N3O6S,14,0.0002635939147461967
Sample12,Other,Stearyl_Conjugation_(-H),C18H35O,15,0.0002824220515137822
Sample12,Amino Acid,Adenosine_(-H2O),C10H11N5O3,16,0.0003012501882813677
Sample12,Amino Acid,Guanosine_(-H2O),C10H11N5O4,17,0.00032007832504895315
Sample12,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,19,0.0003577345985841241
Sample12,Abiotic,GSH_Conjugation_2,C10H17N3O6S,19,0.0003577345985841241
Sample12,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,22,0.00041421900888688056
Sample12,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,23,0.000433047145654466
Sample12,Other,Diphosphate,H3O6P2,23,0.000433047145654466
Sample12,Abiotic,Isoprene_addition_(-H),C5H7,24,0.00045187528242205153
Sample12,Amino Acid,Methionine_(-H2O),C5H9NOS,24,0.00045187528242205153
Sample12,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,28,0.0005271878294923934
Sample12,Abiotic,Acetone_(-H),C3H5O,29,0.0005460159662599789
Sample12,Amino Acid,Cysteine_(-H2O),C3H5NOS,30,0.0005648441030275643
Sample12,Abiotic,CHO2,CHO2,30,0.0005648441030275643
Sample12,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,38,0.0007154691971682482
Sample12,Abiotic,Acetylation_(-H),C2H3O2,38,0.0007154691971682482
Sample12,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,42,0.0007907817442385902
Sample12,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,44,0.0008284380177737611
Sample12,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,48,0.0009037505648441031
Sample12,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,55,0.0010355475222172013
Sample12,Abiotic,Phosphate,HPO3,56,0.0010543756589847869
Sample12,Sugar,Disaccharide_(-H2O),C12H20O11,64,0.0012050007531254707
Sample12,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,65,0.001223828889893056
Sample12,Other,Taurine_Conjugation_(-OH),C2H6NO3S,67,0.0012614851634282272
Sample12,Abiotic,Pyrophosphate,PP,68,0.0012803133001958126
Sample12,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,68,0.0012803133001958126
Sample12,Amino Acid,Thymine_(-H),C5H5N2O2,73,0.00137445398403374
Sample12,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,76,0.0014309383943364965
Sample12,Amino Acid,Tryptophan_(-H2O),C11H10N2O,77,0.0014497665311040818
Sample12,Abiotic,Tertiary_amine,N,79,0.001487422804639253
Sample12,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,83,0.0015627353517095948
Sample12,Amino Acid,Transamination_(-O),NH4,83,0.0015627353517095948
Sample12,Abiotic,Reductive_Dechlorination_(-Cl),H,83,0.0015627353517095948
Sample12,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,87,0.0016380478987799367
Sample12,Abiotic,Primary_amine,NH2,91,0.0017133604458502787
Sample12,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,94,0.0017698448561530352
Sample12,Abiotic,Oxidative_Dechlorination_(-Cl),HO,94,0.0017698448561530352
Sample12,Amino Acid,Uracil_(-H),C4H3N2O2,95,0.0017886729929206206
Sample12,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,95,0.0017886729929206206
Sample12,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,100,0.001882813676758548
Sample12,Abiotic,Reductive_Debromination_(-Br),H,101,0.0019016418135261335
