SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample17,Sugar,Disaccharide_(-H2O),C12H20O11,1,4.1237113402061855e-05
Sample17,Other,Stearyl_Conjugation_(-H),C18H35O,1,4.1237113402061855e-05
Sample17,Abiotic,GSH_Conjugation_1,C10H15N3O6S,1,4.1237113402061855e-05
Sample17,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,2,8.247422680412371e-05
Sample17,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,2,8.247422680412371e-05
Sample17,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,2,8.247422680412371e-05
Sample17,Amino Acid,Thymidine_(-H2O),C10H12N2O4,5,0.0002061855670103093
Sample17,Other,Phytochelatin,C10H16N3O6S-,5,0.0002061855670103093
Sample17,Amino Acid,Uridine_(-H2O),C9H10N2O5,5,0.0002061855670103093
Sample17,Amino Acid,Histidine_(-H2O),C6H7N3O,6,0.00024742268041237116
Sample17,Amino Acid,Tryptophan_(-H2O),C11H10N2O,6,0.00024742268041237116
Sample17,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,6,0.00024742268041237116
Sample17,Amino Acid,Guanosine_(-H2O),C10H11N5O4,7,0.000288659793814433
Sample17,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,7,0.000288659793814433
Sample17,Amino Acid,Adenosine_(-H2O),C10H11N5O3,8,0.00032989690721649484
Sample17,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,9,0.0003711340206185567
Sample17,Abiotic,Biotinyl_(-H),C10H15N2O3S,11,0.0004536082474226804
Sample17,Abiotic,Reductive_Debromination_(-Br),H,13,0.0005360824742268041
Sample17,Abiotic,Oxidative_Debromination_(-Br),HO,14,0.000577319587628866
Sample17,Other,Diphosphate,H3O6P2,16,0.0006597938144329897
Sample17,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,18,0.0007422680412371134
Sample17,Other,Alliin,C6H11NO3S,19,0.0007835051546391753
Sample17,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,20,0.0008247422680412372
Sample17,Abiotic,CHO2,CHO2,23,0.0009484536082474227
Sample17,Amino Acid,Thymine_(-H),C5H5N2O2,26,0.0010721649484536082
Sample17,Abiotic,Acetylation_(-H),C2H3O2,28,0.001154639175257732
Sample17,Abiotic,Isoprene_addition_(-H),C5H7,29,0.0011958762886597938
Sample17,Abiotic,Pyrophosphate,PP,31,0.0012783505154639176
Sample17,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,32,0.0013195876288659794
Sample17,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,32,0.0013195876288659794
Sample17,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,32,0.0013195876288659794
Sample17,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,32,0.0013195876288659794
Sample17,Amino Acid,Uracil_(-H),C4H3N2O2,33,0.0013608247422680411
Sample17,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,35,0.001443298969072165
Sample17,Amino Acid,Methionine_(-H2O),C5H9NOS,35,0.001443298969072165
Sample17,Abiotic,Acetone_(-H),C3H5O,35,0.001443298969072165
Sample17,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,36,0.0014845360824742267
Sample17,Other,Taurine_Conjugation_(-OH),C2H6NO3S,37,0.0015257731958762887
Sample17,Amino Acid,Lysine_(-H2O),C6H12N2O,37,0.0015257731958762887
Sample17,Amino Acid,Cytosine_(-H),C4H4N3O,41,0.001690721649484536
Sample17,Amino Acid,Cysteine_(-H2O),C3H5NOS,44,0.0018144329896907217
Sample17,Amino Acid,Asparagine_(-H2O),C4H6N2O2,46,0.0018969072164948455
Sample17,Abiotic,Oxidative_Defluorination_(-F),HO,64,0.0026391752577319587
Sample17,Amino Acid,Phenylalanine_(-H2O),C9H9NO,66,0.0027216494845360823
Sample17,Other,Urea_addition_(-H),CH3N2O,73,0.0030103092783505155
Sample17,Abiotic,Reductive_Defluorination_(-F),H,78,0.0032164948453608246
Sample17,Amino Acid,Tyrosine_(-H2O),C9H9NO2,80,0.0032989690721649486
Sample17,Amino Acid,Guanine_(-H),C5H4N5O,111,0.004577319587628866
Sample17,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,113,0.0046597938144329895
Sample17,Amino Acid,Adenine_(-H),C5H4N5,123,0.005072164948453608
Sample17,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,146,0.006020618556701031
Sample17,Amino Acid,Isoleucine_(-H2O),C6H11NO,162,0.00668041237113402
Sample17,Amino Acid,Leucine_(-H2O),C6H11NO,162,0.00668041237113402
Sample17,Abiotic,Tertiary_amine,N,170,0.0070103092783505155
Sample17,Sugar,C6H10O6,C6H10O6,188,0.007752577319587629
Sample17,Abiotic,Inorganic_Phosphate,P,195,0.008041237113402062
Sample17,Abiotic,Primary_amine,NH2,198,0.008164948453608248
Sample17,Amino Acid,Valine_(-H2O),C5H9NO,204,0.00841237113402062
Sample17,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,208,0.008577319587628866
Sample17,Amino Acid,Transamination_(-O),NH4,211,0.008701030927835052
Sample17,Amino Acid,Proline_(-H2O),C5H7NO,219,0.009030927835051546
Sample17,Other,O-Acetylserine,C5H9NO4,227,0.00936082474226804
Sample17,Abiotic,Carbon/dehydrogenation,C13,236,0.009731958762886598
Sample17,Other,Thiourea_to_Urea_(-S),O,239,0.009855670103092783
Sample17,Abiotic,Reductive_Dechlorination_(-Cl),H,239,0.009855670103092783
Sample17,Abiotic,Phosphate,HPO3,243,0.010020618556701031
Sample17,Abiotic,Oxidative_Dechlorination_(-Cl),HO,252,0.010391752577319587
Sample17,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,254,0.010474226804123712
Sample17,Sugar,Glucoside_Conjugation_(-H),C6H11O5,300,0.012371134020618556
Sample17,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,306,0.012618556701030927
Sample17,Amino Acid,Threonine_(-H2O),C4H7NO2,308,0.012701030927835052
Sample17,Amino Acid,Alanine_(-H2O),C3H5NO,343,0.014144329896907216
Sample17,Amino Acid,Serine_(-H2O),C3H5NO2,357,0.014721649484536083
Sample17,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,405,0.01670103092783505
Sample17,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,414,0.017072164948453608
Sample17,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,457,0.01884536082474227
Sample17,Abiotic,Secondary_amine,NH,472,0.019463917525773197
Sample17,Sugar,Erythrose_(-H2O),C4H8O4,704,0.029030927835051547
Sample17,Other,Malonyl_group_(-H2O),C3H2O3,743,0.03063917525773196
Sample17,Abiotic,Acetotacetate_(-H2O),C4H4O2,877,0.03616494845360825
Sample17,Abiotic,Nitro_Reduction_(-O2),H2,932,0.03843298969072165
Sample17,Sugar,Glyoxylate_(-H2O),C2O2,997,0.04111340206185567
Sample17,Abiotic,Carboxylation,CO2,1043,0.04301030927835051
Sample17,Abiotic,Condensation/hydration/dehydration,H2O,1121,0.04622680412371134
Sample17,Abiotic,Ethyl_addition_(-H2O),C2H4,1217,0.05018556701030928
Sample17,Abiotic,C2H2,C2H2,1217,0.05018556701030928
Sample17,Abiotic,Acetylation_(-H2O),C2H2O,1254,0.05171134020618557
Sample17,Abiotic,Formic_Acid_(-H2O),CO,1286,0.05303092783505155
Sample17,Abiotic,Oxidation/Hydroxylation_(-H),O,1321,0.05447422680412371
Sample17,Abiotic,Hydrogenation/dehydrogenation,H2,1431,0.05901030927835051
Sample17,Abiotic,Methylation_(-H),CH3,1456,0.06004123711340206
