Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
402.155871,239.092476,163.063395,Amino Acid,Tyrosine_(-H2O),C9H9NO2,163.063329,Sample16
402.155871,255.087526,147.068345,Amino Acid,Phenylalanine_(-H2O),C9H9NO,147.068414,Sample16
402.155871,289.071796,113.084075,Amino Acid,Leucine_(-H2O),C6H11NO,113.084064,Sample16
402.155871,289.071796,113.084075,Amino Acid,Isoleucine_(-H2O),C6H11NO,113.084064,Sample16
402.155871,305.102995,97.052876,Amino Acid,Proline_(-H2O),C5H7NO,97.052764,Sample16
402.155871,388.140259,14.015612,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
402.155871,482.1224,79.966529,Abiotic,Phosphate,HPO3,79.966332,Sample16
402.155871,534.198187,132.042316,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,132.042259,Sample16
402.155871,580.203775,178.047904,Sugar,C6H10O6,C6H10O6,178.047738,Sample16
402.155871,292.119556,110.036315,Amino Acid,Cytosine_(-H),C4H4N3O,110.035437,Sample16
402.155871,301.108104,101.047767,Amino Acid,Threonine_(-H2O),C4H7NO2,101.047679,Sample16
402.155871,331.118732,71.037139,Amino Acid,Alanine_(-H2O),C3H5NO,71.037114,Sample16
402.155871,345.134313,57.021558,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample16
402.155871,374.160981,27.99489,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample16
402.155871,387.144953,15.010918,Abiotic,Secondary_amine,NH,15.010899,Sample16
402.155871,400.140218,2.015653,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
402.155871,430.150893,27.995022,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample16
402.155871,446.145764,43.989893,Abiotic,Carboxylation,CO2,43.989829,Sample16
402.155871,486.177092,84.021221,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.021129,Sample16
402.155871,512.190488,110.034617,Amino Acid,Cytosine_(-H),C4H4N3O,110.035437,Sample16
402.155871,404.171544,2.015673,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
402.155871,273.113487,129.042384,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,129.042593,Sample16
402.155871,287.129075,115.026796,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,115.026943,Sample16
402.155871,303.087343,99.068528,Amino Acid,Valine_(-H2O),C5H9NO,99.068414,Sample16
402.155871,315.123812,87.032059,Amino Acid,Serine_(-H2O),C3H5NO2,87.032028,Sample16
402.155871,360.145282,42.010589,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
402.155871,376.140191,26.01568,Abiotic,C2H2,C2H2,26.015650,Sample16
402.155871,401.124204,1.031667,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.031630,Sample16
402.155871,416.171585,14.015714,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
402.155871,418.150814,15.994943,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample16
402.155871,420.166399,18.010528,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample16
402.155871,432.130103,29.974232,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample16
402.155871,458.145652,55.989781,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample16
402.155871,504.187529,102.031658,Sugar,Erythrose_(-H2O),C4H8O4,102.031695,Sample16
402.155871,374.124454,28.031417,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample16
543.273133,517.257431,26.015702,Abiotic,C2H2,C2H2,26.015650,Sample16
543.273133,557.288843,14.01571,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
543.273133,559.268179,15.995046,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample16
543.273133,544.276445,1.003312,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample16
543.273133,561.283703,18.01057,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample16
543.273133,571.26813,27.994997,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample16
543.273133,573.24736,29.974227,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample16
543.273133,585.283616,42.010483,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
543.273133,599.262996,55.989863,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample16
543.273133,525.30698,17.966153,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample16
543.273133,541.257423,2.01571,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
543.273133,545.288748,2.015615,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
360.093708,342.083093,18.010615,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample16
360.093708,444.114804,84.021096,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.021129,Sample16
360.093708,446.094018,86.00031,Other,Malonyl_group_(-H2O),C3H2O3,86.000394,Sample16
360.093708,303.072178,57.02153,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample16
360.093708,344.098712,15.994996,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample16
360.093708,345.08271,15.010998,Abiotic,Secondary_amine,NH,15.010899,Sample16
360.093708,358.07791,2.015798,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
360.093708,361.096217,1.002509,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample16
360.093708,362.109328,2.01562,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
360.093708,374.109324,14.015616,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
360.093708,378.104188,18.01048,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample16
360.093708,386.109285,26.015577,Abiotic,C2H2,C2H2,26.015650,Sample16
360.093708,391.067098,30.97339,Abiotic,Inorganic_Phosphate,P,30.973763,Sample16
360.093708,404.083569,43.989861,Abiotic,Carboxylation,CO2,43.989829,Sample16
360.093708,402.104265,42.010557,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
360.093708,462.125276,102.031568,Sugar,Erythrose_(-H2O),C4H8O4,102.031695,Sample16
360.093708,376.088542,15.994834,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample16
360.093708,388.125023,28.031315,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample16
187.097491,201.113225,14.015734,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
187.097491,215.092529,27.995038,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample16
187.097491,215.128903,28.031412,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample16
187.097491,229.108039,42.010548,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
187.097491,231.087345,43.989854,Abiotic,Carboxylation,CO2,43.989829,Sample16
187.097491,243.087427,55.989936,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample16
187.097491,273.098105,86.000614,Other,Malonyl_group_(-H2O),C3H2O3,86.000394,Sample16
187.097491,308.11728,121.019789,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample16
187.097491,271.118877,84.021386,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.021129,Sample16
187.097491,350.160899,163.063408,Amino Acid,Tyrosine_(-H2O),C9H9NO2,163.063329,Sample16
187.097491,289.129263,102.031772,Sugar,Erythrose_(-H2O),C4H8O4,102.031695,Sample16
187.097491,302.124516,115.027025,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,115.026943,Sample16
187.097491,319.139784,132.042293,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,132.042259,Sample16
501.343374,587.343726,86.000352,Other,Malonyl_group_(-H2O),C3H2O3,86.000394,Sample16
501.343374,557.333221,55.989847,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample16
501.343374,543.354002,42.010628,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
501.343374,499.327785,2.015589,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample16
501.343374,545.333173,43.989799,Abiotic,Carboxylation,CO2,43.989829,Sample16
201.113225,215.128903,14.015678,Abiotic,Methylation_(-H),CH3,14.015650,Sample16
201.113225,229.108039,27.994814,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample16
201.113225,231.087345,29.97412,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample16
201.113225,243.123825,42.0106,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample16
201.113225,245.103071,43.989846,Abiotic,Carboxylation,CO2,43.989829,Sample16
201.113225,257.103182,55.989957,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample16
201.113225,308.11728,107.004055,Other,Taurine_Conjugation_(-OH),C2H6NO3S,107.004100,Sample16
201.113225,330.155785,129.04256,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,129.042593,Sample16
201.113225,364.176603,163.063378,Amino Acid,Tyrosine_(-H2O),C9H9NO2,163.063329,Sample16
201.113225,285.134477,84.021252,Abiotic,Acetotacetate_(-H2O),C4H4O2,84.021129,Sample16
201.113225,287.113664,86.000439,Other,Malonyl_group_(-H2O),C3H2O3,86.000394,Sample16
201.113225,303.144921,102.031696,Sugar,Erythrose_(-H2O),C4H8O4,102.031695,Sample16
201.113225,322.132995,121.01977,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample16
201.113225,333.155456,132.042231,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,132.042259,Sample16
201.113225,377.145324,176.032099,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,176.032088,Sample16
405.082759,377.051378,28.031381,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample16
