SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample20,Abiotic,GSH_Conjugation_1,C10H15N3O6S,1,3.369045212586753e-05
Sample20,Sugar,Disaccharide_(-H2O),C12H20O11,1,3.369045212586753e-05
Sample20,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,1,3.369045212586753e-05
Sample20,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,1,3.369045212586753e-05
Sample20,Abiotic,GSH_Conjugation_2,C10H17N3O6S,1,3.369045212586753e-05
Sample20,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,1,3.369045212586753e-05
Sample20,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,1,3.369045212586753e-05
Sample20,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,2,6.738090425173506e-05
Sample20,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,2,6.738090425173506e-05
Sample20,Other,Phytochelatin,C10H16N3O6S-,5,0.00016845226062933764
Sample20,Amino Acid,Thymidine_(-H2O),C10H12N2O4,7,0.0002358331648810727
Sample20,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,7,0.0002358331648810727
Sample20,Other,Stearyl_Conjugation_(-H),C18H35O,8,0.00026952361700694025
Sample20,Amino Acid,Guanosine_(-H2O),C10H11N5O4,8,0.00026952361700694025
Sample20,Amino Acid,Uridine_(-H2O),C9H10N2O5,9,0.00030321406913280777
Sample20,Amino Acid,Adenosine_(-H2O),C10H11N5O3,10,0.0003369045212586753
Sample20,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,10,0.0003369045212586753
Sample20,Amino Acid,Tryptophan_(-H2O),C11H10N2O,16,0.0005390472340138805
Sample20,Abiotic,Biotinyl_(-H),C10H15N2O3S,16,0.0005390472340138805
Sample20,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,17,0.000572737686139748
Sample20,Amino Acid,Histidine_(-H2O),C6H7N3O,18,0.0006064281382656155
Sample20,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,20,0.0006738090425173506
Sample20,Abiotic,Reductive_Debromination_(-Br),H,21,0.0007074994946432181
Sample20,Other,Diphosphate,H3O6P2,24,0.0008085708510208206
Sample20,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,26,0.0008759517552725558
Sample20,Other,Alliin,C6H11NO3S,27,0.0009096422073984233
Sample20,Abiotic,Oxidative_Debromination_(-Br),HO,28,0.0009433326595242908
Sample20,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,32,0.001078094468027761
Sample20,Amino Acid,Thymine_(-H),C5H5N2O2,35,0.0011791658244053635
