SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample9,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,8,0.0001638706241422397
Sample9,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,9,0.00018435445216001968
Sample9,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,14,0.0002867735922489195
Sample9,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,14,0.0002867735922489195
Sample9,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,14,0.0002867735922489195
Sample9,Amino Acid,Guanosine_(-H2O),C10H11N5O4,15,0.00030725742026669944
Sample9,Amino Acid,Adenosine_(-H2O),C10H11N5O3,17,0.00034822507630225935
Sample9,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,17,0.00034822507630225935
Sample9,Other,Phytochelatin,C10H16N3O6S-,18,0.00036870890432003935
Sample9,Other,Stearyl_Conjugation_(-H),C18H35O,21,0.0004301603883733792
Sample9,Abiotic,GSH_Conjugation_1,C10H15N3O6S,21,0.0004301603883733792
Sample9,Abiotic,Biotinyl_(-H),C10H15N2O3S,22,0.00045064421639115916
Sample9,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,25,0.000512095700444499
Sample9,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,26,0.0005325795284622791
Sample9,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,27,0.000553063356480059
Sample9,Abiotic,GSH_Conjugation_2,C10H17N3O6S,27,0.000553063356480059
Sample9,Abiotic,CHO2,CHO2,28,0.000573547184497839
Sample9,Other,Diphosphate,H3O6P2,29,0.0005940310125156189
Sample9,Abiotic,Acetone_(-H),C3H5O,33,0.0006759663245867387
Sample9,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,34,0.0006964501526045187
Sample9,Sugar,Disaccharide_(-H2O),C12H20O11,35,0.0007169339806222986
Sample9,Abiotic,Acetylation_(-H),C2H3O2,36,0.0007374178086400787
Sample9,Abiotic,Isoprene_addition_(-H),C5H7,37,0.0007579016366578587
Sample9,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,42,0.0008603207767467584
Sample9,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,46,0.0009422560888178783
Sample9,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,48,0.0009832237448534381
Sample9,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,49,0.001003707572871218
Sample9,Other,Alliin,C6H11NO3S,50,0.001024191400888998
Sample9,Amino Acid,Thymine_(-H),C5H5N2O2,52,0.0010651590569245582
Sample9,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,56,0.001147094368995678
Sample9,Amino Acid,Methionine_(-H2O),C5H9NOS,61,0.0012495135090845777
Sample9,Amino Acid,Uracil_(-H),C4H3N2O2,63,0.0012904811651201376
Sample9,Amino Acid,Cytosine_(-H),C4H4N3O,63,0.0012904811651201376
Sample9,Abiotic,Pyrophosphate,PP,65,0.0013314488211556975
Sample9,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,65,0.0013314488211556975
Sample9,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,69,0.0014133841332268173
Sample9,Amino Acid,Cysteine_(-H2O),C3H5NOS,70,0.0014338679612445973
Sample9,Amino Acid,Tryptophan_(-H2O),C11H10N2O,77,0.0015772547573690572
Sample9,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,80,0.001638706241422397
Sample9,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,81,0.001659190069440177
Sample9,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,81,0.001659190069440177
Sample9,Amino Acid,Lysine_(-H2O),C6H12N2O,102,0.0020893504578135564
Sample9,Other,Taurine_Conjugation_(-OH),C2H6NO3S,103,0.002109834285831336
Sample9,Amino Acid,Histidine_(-H2O),C6H7N3O,104,0.0021303181138491163
Sample9,Amino Acid,Thymidine_(-H2O),C10H12N2O4,105,0.002150801941866896
Sample9,Abiotic,Reductive_Debromination_(-Br),H,116,0.0023761240500624757
Sample9,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,117,0.0023966078780802555
Sample9,Amino Acid,Uridine_(-H2O),C9H10N2O5,133,0.002724349126364735
Sample9,Other,Urea_addition_(-H),CH3N2O,139,0.002847252094471415
Sample9,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,141,0.0028882197505069747
Sample9,Abiotic,Oxidative_Debromination_(-Br),HO,159,0.003256928654827014
Sample9,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,202,0.0041377332595915525
Sample9,Abiotic,Tertiary_amine,N,208,0.004260636227698233
Sample9,Amino Acid,Transamination_(-O),NH4,214,0.004383539195804912
Sample9,Abiotic,Phosphate,HPO3,222,0.0045474098199471515
Sample9,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,223,0.004567893647964932
Sample9,Abiotic,Oxidative_Defluorination_(-F),HO,232,0.0047522481001249514
Sample9,Abiotic,Primary_amine,NH2,232,0.0047522481001249514
Sample9,Amino Acid,Phenylalanine_(-H2O),C9H9NO,237,0.004854667240213851
Sample9,Abiotic,Reductive_Dechlorination_(-Cl),H,248,0.005079989348409431
Sample9,Other,Thiourea_to_Urea_(-S),O,263,0.005387246768676131
Sample9,Abiotic,Oxidative_Dechlorination_(-Cl),HO,269,0.00551014973678281
Sample9,Amino Acid,Asparagine_(-H2O),C4H6N2O2,275,0.00563305270488949
Sample9,Abiotic,Reductive_Defluorination_(-F),H,276,0.005653536532907269
Sample9,Amino Acid,Tyrosine_(-H2O),C9H9NO2,301,0.006165632233351768
Sample9,Amino Acid,Guanine_(-H),C5H4N5O,303,0.006206599889387329
