Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
539.211183,523.215972,15.995211,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample19
539.211183,525.195339,14.015844,Abiotic,Methylation_(-H),CH3,14.015650,Sample19
539.211183,553.226514,14.015331,Abiotic,Methylation_(-H),CH3,14.015650,Sample19
539.211183,497.199623,42.01156,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample19
539.211183,509.236256,29.974927,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample19
539.211183,521.244707,17.966476,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample19
539.211183,601.127042,61.915859,Abiotic,Oxidative_Debromination_(-Br),HO,61.915600,Sample19
539.211183,557.221339,18.010156,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample19
539.211183,511.215675,27.995508,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample19
539.211183,505.24939,33.961793,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample19
539.211183,555.206646,15.995463,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample19
539.211183,537.195846,2.015337,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample19
504.164235,357.095549,147.068686,Amino Acid,Phenylalanine_(-H2O),C9H9NO,147.068414,Sample19
504.164235,405.095862,99.068373,Amino Acid,Valine_(-H2O),C5H9NO,99.068414,Sample19
504.164235,502.125319,2.038916,Amino Acid,Transamination_(-O),NH4,2.039459,Sample19
504.164235,502.148548,2.015687,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample19
504.164235,506.179988,2.015753,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample19
504.164235,522.130706,17.966471,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample19
504.164235,534.138752,29.974517,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample19
504.164235,538.125932,33.961697,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample19
504.164235,445.138716,59.025519,Other,Urea_addition_(-H),CH3N2O,59.024538,Sample19
504.164235,341.100402,163.063833,Amino Acid,Tyrosine_(-H2O),C9H9NO2,163.063329,Sample19
504.164235,503.160956,1.003279,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample19
561.152819,427.106755,134.046064,Amino Acid,Adenine_(-H),C5H4N5,134.046670,Sample19
561.152819,481.186384,79.966435,Abiotic,Phosphate,HPO3,79.966332,Sample19
561.152819,546.142423,15.010396,Abiotic,Secondary_amine,NH,15.010899,Sample19
561.152819,560.120404,1.032415,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.031630,Sample19
561.152819,579.118496,17.965677,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample19
561.152819,589.147819,27.995,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample19
561.152819,641.108637,79.955818,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample19
561.152819,559.136918,2.015901,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample19
561.152819,405.052173,156.100646,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,156.101111,Sample19
561.152819,494.098852,67.053967,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample19
561.152819,504.119612,57.033207,Abiotic,Acetone_(-H),C3H5O,57.034040,Sample19
561.152819,579.142623,17.989804,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample19
561.152819,587.168747,26.015928,Abiotic,C2H2,C2H2,26.015650,Sample19
561.152819,504.130783,57.022036,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample19
551.146951,553.162619,2.015668,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample19
551.146951,565.163028,14.016077,Abiotic,Methylation_(-H),CH3,14.015650,Sample19
551.146951,286.065474,265.081477,Amino Acid,Guanosine_(-H2O),C10H11N5O4,265.081104,Sample19
