Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
504.164235,503.160956,1.003279,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample15
504.164235,560.154601,55.990366,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample15
504.164235,357.095549,147.068686,Amino Acid,Phenylalanine_(-H2O),C9H9NO,147.068414,Sample15
504.164235,506.179988,2.015753,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample15
504.164235,522.130706,17.966471,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample15
504.164235,534.138752,29.974517,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample15
504.164235,538.125932,33.961697,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample15
504.164235,445.138716,59.025519,Other,Urea_addition_(-H),CH3N2O,59.024538,Sample15
504.164235,341.100402,163.063833,Amino Acid,Tyrosine_(-H2O),C9H9NO2,163.063329,Sample15
504.164235,403.11656,101.047675,Amino Acid,Threonine_(-H2O),C4H7NO2,101.047679,Sample15
571.173957,553.162619,18.011338,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample15
571.173957,615.164133,43.990176,Abiotic,Carboxylation,CO2,43.989829,Sample15
571.173957,545.15742,26.016537,Abiotic,C2H2,C2H2,26.015650,Sample15
571.173957,599.169009,27.995052,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample15
571.173957,573.189673,2.015716,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample15
571.173957,585.189705,14.015748,Abiotic,Methylation_(-H),CH3,14.015650,Sample15
571.173957,500.135879,71.038078,Amino Acid,Alanine_(-H2O),C3H5NO,71.037114,Sample15
571.173957,504.119612,67.054345,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample15
571.173957,587.168747,15.99479,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample15
571.173957,569.158118,2.015839,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample15
571.173957,557.157741,14.016216,Abiotic,Methylation_(-H),CH3,14.015650,Sample15
