Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
551.146951,523.114886,28.032065,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
551.146951,535.151643,15.995308,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
551.146951,631.113758,79.966807,Abiotic,Phosphate,HPO3,79.966332,Sample18
551.146951,537.130698,14.016253,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
551.146951,585.107627,33.960676,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample18
551.146951,566.158133,15.011182,Abiotic,Secondary_amine,NH,15.010899,Sample18
551.146951,302.060507,249.086444,Amino Acid,Adenosine_(-H2O),C10H11N5O3,249.086189,Sample18
551.146951,549.131146,2.015805,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
551.146951,581.121422,29.974471,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
551.146951,448.137125,103.009826,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.009186,Sample18
551.146951,484.093102,67.053849,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
551.146951,579.142623,27.995672,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
551.146951,569.158118,18.011167,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
583.101098,565.090139,18.010959,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
583.101098,557.08501,26.016088,Abiotic,C2H2,C2H2,26.015650,Sample18
583.101098,702.104411,119.003313,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.004100,Sample18
583.101098,609.1177,26.016602,Abiotic,C2H2,C2H2,26.015650,Sample18
583.101098,599.096669,15.995571,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
583.101098,449.055389,134.045709,Amino Acid,Adenine_(-H),C5H4N5,134.046670,Sample18
583.101098,496.068405,87.032693,Amino Acid,Serine_(-H2O),C3H5NO2,87.032028,Sample18
583.101098,503.135534,79.965564,Abiotic,Phosphate,HPO3,79.966332,Sample18
583.101098,555.069239,28.031859,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
583.101098,569.085097,14.016001,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
583.101098,581.085315,2.015783,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
583.101098,584.104673,1.003575,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample18
583.101098,585.095836,1.994738,Abiotic,Oxidative_Defluorination_(-F),HO,1.995660,Sample18
583.101098,598.111967,15.010869,Abiotic,Secondary_amine,NH,15.010899,Sample18
583.101098,611.096708,27.99561,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
583.101098,663.057289,79.956191,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample18
583.101098,555.105573,27.995525,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
583.101098,541.08958,42.011518,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample18
583.101098,553.126095,29.975003,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
583.101098,585.116549,2.015451,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
583.101098,597.117541,14.016443,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
583.101098,567.105762,15.995336,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
583.101098,601.112286,18.011188,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
573.20381,547.188355,26.015455,Abiotic,C2H2,C2H2,26.015650,Sample18
573.20381,571.188538,2.015272,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
573.20381,575.220432,2.016622,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
573.20381,545.208954,27.994856,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
573.20381,387.12382,186.07999,Amino Acid,Tryptophan_(-H2O),C11H10N2O,186.079313,Sample18
