SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample8,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,1,4.400827355542842e-05
Sample8,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,4,0.00017603309422171368
Sample8,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,5,0.0002200413677771421
Sample8,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,5,0.0002200413677771421
Sample8,Other,Stearyl_Conjugation_(-H),C18H35O,5,0.0002200413677771421
Sample8,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,6,0.0002640496413325705
Sample8,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,6,0.0002640496413325705
Sample8,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,8,0.00035206618844342737
Sample8,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,10,0.0004400827355542842
Sample8,Other,Phytochelatin,C10H16N3O6S-,11,0.00048409100910971263
Sample8,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,14,0.0006161158297759979
Sample8,Amino Acid,Thymidine_(-H2O),C10H12N2O4,15,0.0006601241033314263
Sample8,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,15,0.0006601241033314263
Sample8,Sugar,Disaccharide_(-H2O),C12H20O11,15,0.0006601241033314263
Sample8,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,17,0.0007481406504422832
Sample8,Amino Acid,Guanosine_(-H2O),C10H11N5O4,19,0.00083615719755314
Sample8,Amino Acid,Uridine_(-H2O),C9H10N2O5,20,0.0008801654711085684
Sample8,Abiotic,GSH_Conjugation_1,C10H15N3O6S,21,0.0009241737446639968
Sample8,Abiotic,GSH_Conjugation_2,C10H17N3O6S,24,0.001056198565330282
Sample8,Amino Acid,Tyrosine_(-H2O),C9H9NO2,27,0.0011882233859965674
Sample8,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,27,0.0011882233859965674
Sample8,Amino Acid,Adenosine_(-H2O),C10H11N5O3,31,0.001364256480218281
Sample8,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,31,0.001364256480218281
Sample8,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,35,0.0015402895744399947
Sample8,Abiotic,Acetotacetate_(-H2O),C4H4O2,36,0.0015842978479954231
Sample8,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,37,0.0016283061215508516
Sample8,Amino Acid,Tryptophan_(-H2O),C11H10N2O,42,0.0018483474893279937
Sample8,Amino Acid,Guanine_(-H),C5H4N5O,42,0.0018483474893279937
Sample8,Other,Diphosphate,H3O6P2,43,0.001892355762883422
Sample8,Amino Acid,Phenylalanine_(-H2O),C9H9NO,47,0.0020683888571051356
Sample8,Amino Acid,Adenine_(-H),C5H4N5,52,0.002288430224882278
Sample8,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,53,0.002332438498437706
Sample8,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,53,0.002332438498437706
Sample8,Sugar,C6H10O6,C6H10O6,59,0.0025964881397702766
Sample8,Other,Malonyl_group_(-H2O),C3H2O3,63,0.0027725212339919903
Sample8,Sugar,Glucoside_Conjugation_(-H),C6H11O5,68,0.0029925626017691326
Sample8,Amino Acid,Proline_(-H2O),C5H7NO,78,0.003432645337323417
Sample8,Abiotic,CHO2,CHO2,79,0.003476653610878845
Sample8,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,79,0.003476653610878845
