SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample6,Amino Acid,Guanosine_5_diphosphate_(-H2O),C10H13N5O10P2,1,5.138482092389908e-05
Sample6,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,1,5.138482092389908e-05
Sample6,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,1,5.138482092389908e-05
Sample6,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,1,5.138482092389908e-05
Sample6,Other,Stearyl_Conjugation_(-H),C18H35O,1,5.138482092389908e-05
Sample6,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,5,0.0002569241046194954
Sample6,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,6,0.0003083089255433945
Sample6,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,6,0.0003083089255433945
Sample6,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,6,0.0003083089255433945
Sample6,Amino Acid,Guanosine_(-H2O),C10H11N5O4,8,0.0004110785673911926
Sample6,Amino Acid,Adenosine_(-H2O),C10H11N5O3,9,0.0004624633883150917
Sample6,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,9,0.0004624633883150917
Sample6,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,10,0.0005138482092389908
Sample6,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,11,0.0005652330301628899
Sample6,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,12,0.000616617851086789
Sample6,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,13,0.0006680026720106881
Sample6,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,15,0.0007707723138584862
Sample6,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,16,0.0008221571347823852
Sample6,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,20,0.0010276964184779817
Sample6,Abiotic,GSH_Conjugation_1,C10H15N3O6S,20,0.0010276964184779817
Sample6,Amino Acid,Thymidine_(-H2O),C10H12N2O4,21,0.0010790812394018807
Sample6,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,21,0.0010790812394018807
Sample6,Sugar,Disaccharide_(-H2O),C12H20O11,22,0.0011304660603257799
Sample6,Other,Phytochelatin,C10H16N3O6S-,24,0.001233235702173578
