SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample3,Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,1,2.573075339645945e-05
Sample3,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,1,2.573075339645945e-05
Sample3,Other,Phytochelatin,C10H16N3O6S-,3,7.719226018937835e-05
Sample3,Other,Stearyl_Conjugation_(-H),C18H35O,3,7.719226018937835e-05
Sample3,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,4,0.0001029230135858378
Sample3,Abiotic,GSH_Conjugation_2,C10H17N3O6S,4,0.0001029230135858378
Sample3,Abiotic,GSH_Conjugation_1,C10H15N3O6S,4,0.0001029230135858378
Sample3,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,4,0.0001029230135858378
Sample3,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,7,0.00018011527377521613
Sample3,Other,Alliin,C6H11NO3S,9,0.00023157678056813502
Sample3,Other,Diphosphate,H3O6P2,9,0.00023157678056813502
Sample3,Amino Acid,Adenosine_(-H2O),C10H11N5O3,10,0.00025730753396459446
Sample3,Amino Acid,Methionine_(-H2O),C5H9NOS,10,0.00025730753396459446
Sample3,Abiotic,Biotinyl_(-H),C10H15N2O3S,11,0.00028303828736105395
Sample3,Amino Acid,Guanosine_(-H2O),C10H11N5O4,11,0.00028303828736105395
Sample3,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,15,0.00038596130094689174
Sample3,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,16,0.0004116920543433512
Sample3,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,19,0.0004888843145327295
Sample3,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,19,0.0004888843145327295
Sample3,Abiotic,Acetone_(-H),C3H5O,23,0.0005918073281185673
Sample3,Abiotic,Isoprene_addition_(-H),C5H7,24,0.0006175380815150268
Sample3,Amino Acid,Cysteine_(-H2O),C3H5NOS,24,0.0006175380815150268
Sample3,Abiotic,CHO2,CHO2,25,0.0006432688349114862
Sample3,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,27,0.0006947303417044051
Sample3,Abiotic,Acetylation_(-H),C2H3O2,28,0.0007204610951008645
Sample3,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,28,0.0007204610951008645
Sample3,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,29,0.000746191848497324
Sample3,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,30,0.0007719226018937835
Sample3,Abiotic,Phosphate,HPO3,32,0.0008233841086867024
