SampleID,NOSC_median,NOSC_mean,NOSC_std,NOSC_w_mean,NOSC_w_std,GFE_median,GFE_mean,GFE_std,GFE_w_mean,GFE_w_std,DBE_median,DBE_mean,DBE_std,DBE_w_mean,DBE_w_std,AI_median,AI_mean,AI_std,AI_w_mean,AI_w_std
Sample1,-0.10526315789473717,-0.10099712350509864,0.5891016459550207,-0.42237398583924685,0.734361155041746,63.300000000000004,63.17841801989531,16.789396909718057,72.33765859641854,20.929292918689764,9.0,12.515816655907036,8.665617948323796,,,0.16666666666666666,-0.0450800629088382,3.2011777435448185,-0.6422605063704352,3.152126299601773
Sample10,-0.254032258064516,-0.23353849504316823,0.4611002361027985,-0.5399714865155869,0.5504714148483698,67.5399193548387,66.9558471087303,13.141356728929733,75.68918736569422,15.68843532317854,10.0,11.01113716295428,5.097252919740478,,,-0.07142857142857142,-0.05701211938045049,0.7057247264919065,-0.08651387551625117,0.48470794342900214
Sample11,-0.3157894736842106,-0.29580434098205327,0.4878588266532884,-0.7195581633999436,0.567451499577853,69.3,68.73042371798851,13.903976559618727,80.80740765689838,16.172367737968813,10.0,10.302898550724638,5.102210444334097,,,-0.1111111111111111,-0.07308942074559795,0.7011282854024836,-0.13954210466462716,0.5267128627885765
Sample12,0.4166666666666665,0.30680749843645916,0.4888738030749683,-0.2563688598230642,0.7847435316798929,48.425,51.55598629456091,13.932903387636594,67.60651250495731,22.36519065287695,12.0,12.48154701718908,4.349551949095373,9.227429077926253,5.223023690094068,0.0,-0.15385053345743088,0.6961973990848854,-0.21266904638275327,0.4664239583438465
Sample13,-0.3076923076923075,-0.29871876629717276,0.4204276011622791,-0.6374747733378959,0.5409710807084376,69.06923076923076,68.81348483946942,11.982186633124938,78.46803104013003,15.417675800190475,10.0,10.687368421052632,5.178822790915347,,,-0.07142857142857142,-0.0189300758768402,0.8510726420361476,-0.08896448757038825,0.5323825109864408
Sample14,-0.23809523809523814,-0.22995227121662953,0.6063496002380738,-0.45421197340592595,0.5775292858420703,67.08571428571429,66.85363972967393,17.280963606785104,73.24504124206885,16.459584646499003,9.0,11.901146131805158,8.638812470652395,,,0.2222222222222222,0.1876637947431854,2.855498921004253,-0.12096471345721317,2.691110910397671
Sample15,0.0,-0.021588296912117555,0.5940139506943407,-0.2899157512083981,0.661066001535853,60.3,60.91526646199535,16.92939759478872,68.56259890943934,18.840381043771814,9.0,12.58171466845278,8.878311631908211,,,0.22613636363636364,0.07962159171086877,3.870440912518863,-0.16889760505655452,3.4626550089226558
Sample16,-0.4137931034482758,-0.392263063951806,0.4039577039866549,-0.6513125012019978,0.5157542489057687,72.09310344827585,71.47949732262647,11.51279456361967,78.86240628425692,14.69899609381441,9.0,10.71105141980046,5.79182914443855,,,0.0,0.03973549094627355,1.033315844270003,-0.05053948770539461,0.631480947665439
Sample17,-0.40000000000000036,-0.3798700913144502,0.3990751200340223,-0.6474472422327299,0.5143506787119024,71.7,71.12629760246183,11.373640920969626,78.75224640363281,14.65899434328922,9.0,10.790718038528897,5.829973444978744,,,0.0,0.07536735718237639,1.1441300268460652,-0.05115885643091615,0.6480733369123544
Sample18,0.0,-0.03619409343490926,0.5916597575172178,-0.23648321094842517,0.6752937749102006,60.3,61.33153166289491,16.862303089240687,67.0397715120301,19.245872584940717,9.0,12.3239608801956,8.686391364889932,,,0.25,0.11351097276784909,3.673768788900956,-0.20352516042974486,3.4990428925259485
Sample19,-0.14634146341463428,-0.13497403278605724,0.6036680617657105,-0.4491269527455005,0.662652243963284,64.47073170731707,64.14675993440262,17.204539760322753,73.1001181532468,18.885588952953594,8.0,11.397612156295224,8.306395559042716,,,0.15,-0.018549323957750503,3.7267549404882447,-0.487626141040988,3.1650972720698887
Sample2,0.0,0.0758107028465216,0.6578562864961259,-0.25252785754431006,0.6181319729429768,60.3,58.13939496887413,18.748904165139574,67.49704394001283,17.61676122887484,13.5,14.082074521651561,8.207893582581912,,,0.45454545454545453,0.7233628917867765,2.466639006173778,0.37467554940650083,1.5983425670158842
Sample20,-0.40000000000000036,-0.3573042489656597,0.4500214278656876,-0.6838438865529651,0.5457931506825119,71.7,70.4831710955213,12.825610694172088,79.7895507667595,15.55510479445159,9.0,10.554447852760736,5.645863487742245,,,0.0,0.05000503988539744,1.2260570640643862,-0.06421165920658645,0.6625292462275466
Sample21,-0.4226475279106858,-0.40269415840227885,0.43656986526418534,-0.7396747911084157,0.5401895147799178,72.34545454545454,71.77678351446495,12.442241160029283,81.38073154658983,15.39540117122766,9.0,10.733617021276595,5.921449340264445,,,0.0,0.06588872214888475,1.0938230983222972,-0.08322107621394993,0.6466938267716545
Sample22,0.03923076923076918,0.08285505406299222,0.6659381332472835,-0.38914175079680535,0.6834831611202652,59.18192307692308,57.938630959204716,18.979236797547603,71.39053989770896,19.479270091927553,11.0,12.454397394136809,7.271638225993664,,,0.3514705882352941,0.43694532583533,2.140150143883042,0.11804785027581362,1.2858137864166375
Sample23,0.5925925925925926,0.49083573899344274,0.46831427193983316,-0.18434014979885502,0.8877711820611532,43.41111111111111,46.31118143868688,13.346956750285246,65.55369426926741,25.301478688742872,13.0,12.966182048040455,4.218452937549365,,,0.0,-0.10142170525080306,0.8517470900318186,-0.1899752851699859,0.5191925261851019
Sample24,0.07142857142857162,0.05867762831374635,0.5107316212873679,-0.07190215977411922,0.556926025868343,58.264285714285705,58.627687593058226,14.555851206689985,62.34921155356241,15.87239173724778,10.0,12.989707475622968,8.545758688549933,,,0.1875,0.04345214387815005,3.6608753211967584,-0.8182556918211022,3.8400524736494384
Sample3,0.375,0.3007199325964354,0.4487826442537053,0.0030245570046998327,0.7117026514568515,49.6125,51.729481921001586,12.790305361230594,60.21380012536606,20.283525566520265,12.0,12.814516129032258,4.733670131741064,10.936258623876935,4.95726821385664,0.0,0.01603197461361606,1.4966442961244835,-0.1623132307651451,0.7195266247460738
Sample4,0.0,-0.03849573570762035,0.47210886576700734,-0.38171989182467964,0.5679952680942089,60.3,61.39712846766718,13.455102674359704,71.17901691700334,16.18786514068495,10.0,12.26551094890511,7.087610292992116,,,0.125,0.0017961335693346553,1.7389937019314143,-0.30584891656389757,1.6272252401868503
Sample5,-0.09999999999999964,-0.10269175201933181,0.5937887744121773,-0.34859032052152583,0.7042286180380353,63.149999999999984,63.226714932550955,16.922980070747073,70.23482413486347,20.07051561408401,9.0,12.38810930576071,8.926997119727698,,,0.15625,0.010621409326890398,3.6991009451345938,-0.26495386890929146,3.6939341017081837
Sample6,-0.18181818181818166,-0.18957195042138905,0.5591699819711096,-0.4191768027226682,0.6316252274415923,65.48181818181817,65.70280058700959,15.936344486176635,72.24653887759604,18.001318982085383,10.5,12.876684636118599,8.685073471533816,,,0.125,-0.12383586460216521,3.2064262418221463,-0.7851030704647818,3.3239509042512885
Sample7,-0.2631578947368425,-0.24296815242202216,0.5772976928246368,-0.5108690284303581,0.6292701829823818,67.80000000000001,67.22459234402763,16.45298424550216,74.85976731026521,17.93420021499788,9.0,11.898447606727037,8.321845399736988,,,0.13333333333333333,-0.05641588852105492,3.5674725396675586,-0.5403915750940032,3.573869989939293
Sample8,-0.25,-0.22842442045765576,0.5744152346870689,-0.49076000150821397,0.6825759808754,67.425,66.81009598304318,16.37083418858147,74.28666004298408,19.4534154549489,9.0,11.595918367346938,8.162928851028896,,,0.14285714285714285,-0.15388785940227762,3.581581914669033,-0.6852119225558881,3.4539540054688573
Sample9,-0.08695652173913082,-0.09816396016535453,0.49566033573825985,-0.5557570893502473,0.6070923601817332,62.77826086956522,63.0976728647126,14.1263195685404,76.13907704648204,17.302132265179395,11.0,11.365770042194093,4.690617619753631,,,-0.08333333333333333,-0.10208327313915909,0.5215121607650193,-0.11032815975933208,0.38099135874169965
