Mass,Sample1,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample2,Sample20,Sample21,Sample22,Sample23,Sample24,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9
199.0070207,0.0,-0.0009156089133679654,-0.0006291569919220408,-0.0010221744356089268,-0.0011653980113249774,0.0,0.0,0.0,-0.0012659919381153636,0.0,0.0,0.0,-0.0010518722563078826,-0.0009888722205865532,0.0,0.0,0.0,0.0,-0.004768793519107605,0.0,0.0,0.0,0.0,0.0
209.0091605,0.0,0.0,0.001033899406957081,0.0003371505010522193,-0.0007177005053958899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015477196116162303,0.0,0.00019351959463801647,0.0,-0.0021579471357406482,0.0,0.0,0.0,0.0,0.0,0.0
209.1546994,0.0,-0.0008711981431123048,-0.0010172405855180442,0.0,-0.0011356091914955925,0.0,0.0,-0.0013029724754542364,-0.0010044132596410196,0.0,0.0,0.0,-0.0008917528930434919,-0.0007726435517536679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007492210259944022
215.0925291,0.0,-0.0008604275367488273,-0.0004916090135623958,0.0,-0.001001053119922029,0.0,0.0,-0.0010008447404100918,-0.0012735341945246015,0.0,0.0,0.0,-0.000854993663874998,-0.0006288279888136482,-0.0014244396582319225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008317112384029518
221.0817885,-0.0010282334505073876,0.0,-0.0005708614495911135,-0.0007221737321636989,0.0,-0.0023618022990178063,-0.0007051667763649063,-0.0011717095620760085,0.0,0.0,-0.0007720709738044488,-0.000481962544122509,0.0,-0.0009877859959100167,0.0,0.0,0.0,0.0,0.0,0.0,-0.001666708453178112,0.0,0.0,0.0
223.0610378,-0.0011669122257673677,-0.0010950264732316134,0.0,-0.001014588174633912,-0.0007231939299845014,-0.002961008498099546,0.0,0.0,0.0,-0.0013651515480546667,-0.0007358670298694916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.003994,-0.0007174127439354173,0.0,0.0,-0.0007616810589587327,0.0,-0.0011178963698914017,-0.00042045826428323594,0.0,0.0,-0.0015655829433618128,0.0,-0.0004432063918527673,0.0,0.0,-0.0008746795330382322,-0.0009272507775814785,0.0,-0.0018963262883561426,-0.004012872473704317,-0.0015586498470979125,0.0,0.0,0.0,0.0
225.0767046,-0.0011957161865614298,0.0,0.0,-0.0009140130729129825,0.0,0.0019334163686928181,-0.0006422535748987595,0.0,0.0,-0.0016982106088034203,-0.0006810349663754216,0.0,0.0,0.0,0.0,-0.0012860088134378968,0.0,0.0,0.0,-0.0016113734771621721,0.0,0.0,0.0,0.0
227.092361,-0.0006872447270622449,-0.0006603710895527484,-0.0004242589378908631,0.0,0.0,0.007030353865914022,-0.0006653103829915923,-0.0013685263939757649,0.0,-0.0004560827946152392,-0.0006909753639369152,0.0,-0.0009509895284972742,-0.00024768416852148894,0.0,-0.0013167047507362563,0.0,0.0,0.0,0.0,0.0,-0.0009982508181425615,0.0,-0.0008376152049488427
229.0716515,-0.0012088605500626991,-0.0010680223672546543,0.0,0.0,0.0,-0.0018336528967141746,0.0,0.0,0.0,-0.0021677995809972115,-0.0008041773079275753,0.0,0.0,0.0,-0.001253646102972623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
