Treatment,Mass,mean
A,289.0355552,0.0
A,289.0360078,0.0
A,289.0465612,0.0
A,289.0470934,0.0
A,289.071796,0.0
A,289.0723347,0.0
A,289.0830158,0.0
A,289.0835437,0.0
A,289.0929875,0.0
A,289.1081852,0.0
A,289.1087387,0.0
A,289.129263,0.0
A,289.1450887,0.0
A,290.0306197,0.0
A,290.0310575,0.0
A,290.0669802,0.0
A,290.0675591,0.0
A,291.0145598,0.0
A,291.0151211,0.0
A,291.0512641,0.0
A,291.0622712,0.0
A,291.0628971,0.0
A,291.0874216,0.0
A,291.0879862,0.0
A,291.0992266,0.0
A,291.1238406,0.0
A,291.1244,0.0
A,292.0463335,0.0
A,292.0468494,0.0
A,292.0826962,0.0
A,292.0833077,0.0
A,292.9941736,0.0
A,293.0130912,0.0
A,293.0302694,0.0
A,293.0308387,0.0
A,293.0666683,0.0
A,293.067259,0.0
A,293.0778847,0.0
A,293.078483,0.0
A,293.1030612,0.0
A,293.1036189,0.0
A,293.1394245,0.0
A,293.1400051,0.0
A,293.1427939,0.0
A,293.1758415,0.0
A,293.1763944,0.0
A,294.0259874,0.0
A,294.0619453,0.0
A,294.0625668,0.0
A,294.0706599,0.0
A,294.0983371,0.0
A,294.0989338,0.0
A,294.1825464,0.0
A,295.0095028,0.0
A,295.0101067,0.0
A,295.045975,0.0
A,295.0465646,0.0
A,295.0571812,0.0
A,295.0578195,0.0
A,295.0617068,0.0
A,295.0823406,0.0
A,295.0829434,0.0
A,295.0935857,0.0
A,295.0941988,0.0
A,295.1187051,0.0
A,295.1193139,0.0
A,295.137294,0.0
A,295.1378124,0.0
A,295.1557017,0.0
A,296.0411037,0.0
A,296.0417544,0.0
A,296.0775279,0.0
A,296.0781738,0.0
A,296.0862997,0.0
A,296.114602,0.0
A,297.0251941,0.0
A,297.0258448,0.0
A,297.0403802,0.0
A,297.0410159,0.0
A,297.0517364,0.0
A,297.0616039,0.0
A,297.062234,0.0
A,297.0734328,0.0
A,297.0774334,0.0
A,297.0979872,0.0
A,297.0986423,0.0
A,297.1098524,0.0
A,297.1343773,0.0
A,297.1350412,0.0
A,297.1528739,0.0
A,298.0356909,0.0
A,298.0362366,0.0
A,298.0567686,0.0
A,298.0574595,0.0
A,298.0655656,0.0
A,298.0721005,0.0
A,298.0726819,0.0
A,298.0932082,0.0
A,298.0938174,0.0
A,298.1019215,0.0
A,299.0196675,0.0
A,299.0202977,0.0
A,299.0316429,0.0
A,299.040832,0.0
A,299.0415027,0.0
A,299.0560091,0.0
A,299.0566822,0.0
A,299.0673844,0.0
A,299.0772036,0.0
A,299.0778965,0.0
A,299.0925617,0.0
A,299.1136247,0.0
A,299.1143028,0.0
A,299.1294037,0.0
A,299.1499948,0.0
A,299.1506775,0.0
A,299.1863981,0.0
A,300.0447819,0.0
A,300.0513032,0.0
A,300.0519043,0.0
A,300.0724167,0.0
A,300.0732001,0.0
A,300.0812599,0.0
A,300.0876644,0.0
A,300.0883487,0.0
A,300.1176547,0.0
A,300.9989472,0.0
A,300.99961,0.0
A,301.0353035,0.0
A,301.036031,0.0
A,301.0466034,0.0
A,301.0473512,0.0
A,301.0564645,0.0
A,301.0571892,0.0
A,301.0716943,0.0
A,301.0724031,0.0
A,301.0830678,0.0
A,301.0928623,0.0
A,301.0935844,0.0
A,301.1081043,0.0
A,301.1114813,0.0
A,301.1292665,0.0
A,301.1299643,0.0
A,301.165656,0.0
A,301.1663287,0.0
A,301.202074,0.0
A,302.0305621,0.0
A,302.0312852,0.0
A,302.0605074,0.0
A,302.0669629,0.0
A,302.0676871,0.0
A,302.0746375,0.0
A,302.0969589,0.0
A,302.1332419,0.0
A,303.0145475,0.0
A,303.0152599,0.0
A,303.0509244,0.0
A,303.0516856,0.0
A,303.0622358,0.0
A,303.0629744,0.0
A,303.0721784,0.0
A,303.0728504,0.0
A,303.087343,0.0
A,303.0880655,0.0
A,303.0986772,0.0
A,303.108534,0.0
