SampleID,Shannon,Gini_Simpson,Chao1
Sample1,7.3367615720165995,0.9930899668345663,3462
Sample2,6.7868407088498595,0.9908248543116578,2290
Sample3,7.379058516240245,0.9964400791611308,3313
Sample4,6.318927728948051,0.992948161932157,1111
Sample5,7.098268689581974,0.9931595969956185,3029
Sample6,7.2137460765585155,0.9956467076073248,3288
Sample7,7.036463631114565,0.9933139588067501,3520
Sample8,7.280905979674538,0.994105336990081,3389
Sample9,6.7579962383458545,0.9879083378144721,4108
Sample10,6.990326415595714,0.9923262691529567,3721
Sample11,6.417646374405798,0.9858081169076516,3038
Sample12,7.086475584376678,0.9898293789109585,4185
Sample13,6.622739700972097,0.9900404649730579,3127
Sample14,7.2281696978372745,0.9982693209702413,2432
Sample15,6.786909920419979,0.9842790529527452,3275
Sample16,6.674360587745025,0.9899825914556908,2822
Sample17,6.612320257049753,0.9907809702845367,2493
Sample18,7.4713015678932395,0.9967284569578293,3674
Sample19,6.796485720358772,0.9893188064916513,3138
Sample20,6.501814654399762,0.9877515915299095,2972
Sample21,6.310969428276941,0.985007445518018,2604
Sample22,6.567074394195408,0.986943668333645,2252
Sample23,7.085801402136462,0.9903559583065246,3355
Sample24,6.431724519036385,0.9950762233588115,2145
