SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample1,Amino Acid,Transamination_(-O),NH4,113,0.0049045138888888
Sample1,Other,O-Acetylserine,C5H9NO4,114,0.0049479166666666
Sample1,Other,Thiourea_to_Urea_(-S),O,116,0.0050347222222222
Sample1,Amino Acid,Threonine_(-H2O),C4H7NO2,117,0.005078125
Sample1,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,121,0.0052517361111111
Sample1,Amino Acid,Serine_(-H2O),C3H5NO2,122,0.0052951388888888
Sample1,Abiotic,Oxidative_Debromination_(-Br),HO,124,0.0053819444444444
Sample1,Abiotic,Biotinyl_(-H),C10H15N2O3S,126,0.00546875
Sample1,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,133,0.0057725694444444
Sample1,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,146,0.0063368055555555
Sample1,Other,Alliin,C6H11NO3S,150,0.0065104166666666
Sample1,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,159,0.0069010416666666
Sample1,Abiotic,Acetone_(-H),C3H5O,162,0.00703125
Sample1,Abiotic,Oxidative_Dechlorination_(-Cl),HO,162,0.00703125
Sample1,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,168,0.0072916666666666
Sample1,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,182,0.0078993055555555
Sample1,Amino Acid,Asparagine_(-H2O),C4H6N2O2,185,0.0080295138888888
Sample1,Abiotic,Inorganic_Phosphate,P,194,0.0084201388888888
Sample1,Abiotic,Reductive_Dechlorination_(-Cl),H,217,0.0094184027777777
Sample1,Amino Acid,Methionine_(-H2O),C5H9NOS,221,0.0095920138888888
Sample1,Abiotic,Isoprene_addition_(-H),C5H7,241,0.0104600694444444
Sample1,Sugar,Glyoxylate_(-H2O),C2O2,274,0.0118923611111111
Sample1,Abiotic,Oxidative_Defluorination_(-F),HO,277,0.0120225694444444
Sample1,Amino Acid,Cysteine_(-H2O),C3H5NOS,280,0.0121527777777777
Sample1,Abiotic,Phosphate,HPO3,295,0.0128038194444444
Sample1,Abiotic,Carbon/dehydrogenation,C13,308,0.0133680555555555
Sample1,Other,Taurine_Conjugation_(-OH),C2H6NO3S,324,0.0140625
Sample1,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,345,0.0149739583333333
Sample1,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,361,0.0156684027777777
Sample1,Abiotic,Carboxylation,CO2,546,0.0236979166666666
Sample1,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,555,0.0240885416666666
Sample1,Abiotic,Acetylation_(-H2O),C2H2O,586,0.0254340277777777
Sample1,Abiotic,Secondary_amine,NH,617,0.0267795138888888
Sample1,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,671,0.0291232638888888
Sample1,Abiotic,Reductive_Defluorination_(-F),H,719,0.0312065972222222
Sample1,Abiotic,Nitro_Reduction_(-O2),H2,893,0.0387586805555555
Sample1,Abiotic,Ethyl_addition_(-H2O),C2H4,1001,0.0434461805555555
Sample1,Abiotic,C2H2,C2H2,1108,0.0480902777777777
Sample1,Abiotic,Formic_Acid_(-H2O),CO,1171,0.0508246527777777
Sample1,Abiotic,Condensation/hydration/dehydration,H2O,1311,0.0569010416666666
Sample1,Abiotic,Oxidation/Hydroxylation_(-H),O,1496,0.0649305555555555
Sample1,Abiotic,Methylation_(-H),CH3,1598,0.0693576388888888
Sample1,Abiotic,Hydrogenation/dehydrogenation,H2,1901,0.0825086805555555
Sample10,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,1,2.3905715856661328e-05
Sample10,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,4,9.562286342664533e-05
Sample10,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,6,0.0001434342951399
Sample10,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,8,0.0001912457268532
Sample10,Abiotic,GSH_Conjugation_1,C10H15N3O6S,8,0.0001912457268532
Sample10,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,8,0.0001912457268532
Sample10,Amino Acid,Adenosine_(-H2O),C10H11N5O3,9,0.0002151514427099
Sample10,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,9,0.0002151514427099
Sample10,Amino Acid,Guanosine_(-H2O),C10H11N5O4,10,0.0002390571585666
Sample10,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,11,0.0002629628744232
Sample10,Other,Phytochelatin,C10H16N3O6S-,12,0.0002868685902799
Sample10,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,13,0.0003107743061365
Sample10,Other,Stearyl_Conjugation_(-H),C18H35O,13,0.0003107743061365
Sample10,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,16,0.0003824914537065
Sample10,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,16,0.0003824914537065
Sample10,Sugar,Disaccharide_(-H2O),C12H20O11,16,0.0003824914537065
Sample10,Abiotic,GSH_Conjugation_2,C10H17N3O6S,19,0.0004542086012765
Sample10,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,21,0.0005020200329898
Sample10,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,23,0.0005498314647032
Sample10,Abiotic,Biotinyl_(-H),C10H15N2O3S,28,0.0006693600439865
Sample10,Other,Diphosphate,H3O6P2,29,0.0006932657598431
Sample10,Amino Acid,Tryptophan_(-H2O),C11H10N2O,36,0.0008606057708398
Sample10,Amino Acid,Thymidine_(-H2O),C10H12N2O4,41,0.0009801343501231
Sample10,Abiotic,CHO2,CHO2,41,0.0009801343501231
Sample10,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,43,0.0010279457818364
Sample10,Abiotic,Isoprene_addition_(-H),C5H7,43,0.0010279457818364
Sample10,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,46,0.0010996629294064
Sample10,Abiotic,Acetone_(-H),C3H5O,46,0.0010996629294064
Sample10,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,50,0.001195285792833
Sample10,Abiotic,Pyrophosphate,PP,50,0.001195285792833
Sample10,Abiotic,Acetylation_(-H),C2H3O2,50,0.001195285792833
Sample10,Amino Acid,Thymine_(-H),C5H5N2O2,56,0.001338720087973
Sample10,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,57,0.0013626258038296
Sample10,Other,Alliin,C6H11NO3S,57,0.0013626258038296
Sample10,Amino Acid,Uridine_(-H2O),C9H10N2O5,60,0.0014343429513996
Sample10,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,61,0.0014582486672563
Sample10,Abiotic,Reductive_Debromination_(-Br),H,63,0.0015060600989696
Sample10,Amino Acid,Uracil_(-H),C4H3N2O2,63,0.0015060600989696
Sample10,Amino Acid,Lysine_(-H2O),C6H12N2O,67,0.0016016829623963
Sample10,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,68,0.0016255886782529
Sample10,Amino Acid,Cytosine_(-H),C4H4N3O,70,0.0016734001099662
Sample10,Amino Acid,Cysteine_(-H2O),C3H5NOS,71,0.0016973058258229
Sample10,Amino Acid,Methionine_(-H2O),C5H9NOS,71,0.0016973058258229
Sample10,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,75,0.0017929286892495
Sample10,Amino Acid,Histidine_(-H2O),C6H7N3O,82,0.0019602687002462
Sample10,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,89,0.0021276087112428
Sample10,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,93,0.0022232315746695
Sample10,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,99,0.0023666658698094
Sample10,Abiotic,Oxidative_Debromination_(-Br),HO,100,0.0023905715856661
Sample10,Other,Taurine_Conjugation_(-OH),C2H6NO3S,103,0.0024622887332361
Sample10,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,128,0.0030599316296526
Sample10,Other,Urea_addition_(-H),CH3N2O,139,0.0033228945040759
Sample10,Amino Acid,Phenylalanine_(-H2O),C9H9NO,170,0.0040639716956324
Sample10,Amino Acid,Asparagine_(-H2O),C4H6N2O2,179,0.0042791231383423
Sample10,Abiotic,Oxidative_Defluorination_(-F),HO,184,0.0043986517176256
Sample10,Amino Acid,Tyrosine_(-H2O),C9H9NO2,209,0.0049962946140422
Sample10,Abiotic,Reductive_Defluorination_(-F),H,219,0.0052353517726088
Sample10,Abiotic,Tertiary_amine,N,244,0.0058329946690253
Sample10,Amino Acid,Guanine_(-H),C5H4N5O,246,0.0058808061007386
Sample10,Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,255,0.0060959575434486
Sample10,Abiotic,Primary_amine,NH2,260,0.0062154861227319
Sample10,Other,Thiourea_to_Urea_(-S),O,262,0.0062632975544452
Sample10,Amino Acid,Transamination_(-O),NH4,263,0.0062872032703019
Sample10,Abiotic,Phosphate,HPO3,266,0.0063589204178719
Sample10,Amino Acid,Adenine_(-H),C5H4N5,269,0.0064306375654418
Sample10,Abiotic,Reductive_Dechlorination_(-Cl),H,284,0.0067892233032918
Sample10,Abiotic,Oxidative_Dechlorination_(-Cl),HO,298,0.007123903325285
Sample10,Amino Acid,Isoleucine_(-H2O),C6H11NO,315,0.0075303004948483
Sample10,Amino Acid,Leucine_(-H2O),C6H11NO,315,0.0075303004948483
Sample10,Abiotic,Carbon/dehydrogenation,C13,318,0.0076020176424183
Sample10,Amino Acid,Valine_(-H2O),C5H9NO,412,0.0098491549329444
Sample10,Abiotic,Inorganic_Phosphate,P,420,0.0100404006597977
Sample10,Amino Acid,Proline_(-H2O),C5H7NO,439,0.0104946092610743
Sample10,Other,O-Acetylserine,C5H9NO4,440,0.0105185149769309
Sample10,Sugar,C6H10O6,C6H10O6,487,0.011642083622194
Sample10,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,510,0.0121919150868972
Sample10,Amino Acid,Threonine_(-H2O),C4H7NO2,548,0.0131003322894504
Sample10,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,580,0.0138653151968635
Sample10,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,594,0.0141999952188568
Sample10,Amino Acid,Alanine_(-H2O),C3H5NO,631,0.0150845067055532
Sample10,Amino Acid,Serine_(-H2O),C3H5NO2,648,0.0154909038751165
Sample10,Sugar,Glucoside_Conjugation_(-H),C6H11O5,663,0.0158494896129664
Sample10,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,758,0.0181205326193492
Sample10,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,772,0.0184552126413425
Sample10,Abiotic,Secondary_amine,NH,856,0.020463292773302
Sample10,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,888,0.0212282756807152
Sample10,Sugar,Erythrose_(-H2O),C4H8O4,1244,0.0297387105256866
Sample10,Other,Malonyl_group_(-H2O),C3H2O3,1359,0.0324878678492027
Sample10,Abiotic,Acetotacetate_(-H2O),C4H4O2,1494,0.035715139489852
Sample10,Abiotic,Nitro_Reduction_(-O2),H2,1574,0.0376275967583849
